,,phenotype 0,phenotype 1
age,mean,61.824817518248175,65.22782446311858
age,std,9.077119978794792,8.96474980656971
heightcm,mean,169.1783211678832,172.48427637721755
heightcm,std,10.686423797578637,9.765379675167766
weightkg,mean,113.51350364963504,89.05088702147526
weightkg,std,20.331226099584864,17.30785665845583
bmi,mean,39.60054744525548,29.82578898225957
bmi,std,5.8102435177741,4.684290060644444
bsa,mean,2.2097445255474453,2.019747899159664
bsa,std,0.2415614810886553,0.22782111348655823
wbc,mean,8.07448905109489,7.7561157796451905
wbc,std,2.0970673561468356,2.1715688892568323
hct,mean,40.51678832116789,39.82054154995332
hct,std,4.631981029256731,4.854236812677391
platelets,mean,224729.92700729927,221982.25957049488
platelets,std,63470.27842975558,63280.58466278105
totalbumin,mean,3.7288321167883214,3.7942110177404293
totalbumin,std,0.35704437026047187,0.4045582664387375
a1clvl,mean,7.167153284671533,7.5693464052287585
a1clvl,std,1.3200959832486316,1.5544108306231532
creatlst,mean,1.073211678832117,1.3093464052287582
creatlst,std,0.5088605878677216,1.1930731317267522
totblrbn,mean,0.6001459854014598,0.602156862745098
totblrbn,std,0.30361795301674827,0.2698821439680018
inr,mean,1.0572627766423357,1.0710550932791782
inr,std,0.0831356028842571,0.21365950416256535
hdef,mean,54.45875911992701,50.92763772104575
hdef,std,9.254042575196333,11.817427411113016
PREDMORT,mean,0.011659233576642336,0.01378622782446312
PREDMORT,std,0.012832614604161607,0.015368838388796493
PREDDEEP,mean,0.004900948905109489,0.003621129785247432
PREDDEEP,std,0.005031295885795233,0.003110485182119789
PREDREOP,mean,0.025665364963503648,0.03423666666666666
PREDREOP,std,0.015228339810458567,0.020599998357680727
PREDSTRO,mean,0.008866642335766423,0.011968991596638655
PREDSTRO,std,0.005887747540645484,0.008445481538753408
PREDVENT,mean,0.06741408759124087,0.06733954248366014
PREDVENT,std,0.04200482041158073,0.048014492622052145
PREDRENF,mean,0.02653301115241636,0.027991298828125004
PREDRENF,std,0.03341766917237129,0.031693766481680076
PREDMM,mean,0.10642722627737226,0.11261074696545285
PREDMM,std,0.059245128282799035,0.07122336202098552
PRED6D,mean,0.4978689416058394,0.49138225023342685
PRED6D,std,0.15698978021604557,0.16603265600611747
PRED14D,mean,0.04252467153284672,0.04542007469654528
PRED14D,std,0.03759341953076703,0.03993161918390764
TOTHRICU,mean,81.94429502878205,60.44736852108033
TOTHRICU,std,119.47972245402643,87.2895015404155
ICUINHRS,mean,67.70912408759123,57.180485527544356
ICUINHRS,std,86.58218114756788,73.30255138390622
ICUADHRS,mean,117.04428550714286,112.106666715
ICUADHRS,std,214.14079632692312,170.1675924601368
VENTHRSTOT,mean,18.77985408759124,13.2270527306968
VENTHRSTOT,std,76.87527953227517,52.93741809924772
